source_obligation_id,parent_record_id,article_id,paragraph_id,rule_candidate_id,rule_candidate_summary,rule_family,logic_type,detection_target,sir_link_type,sir_candidate_fields,evidence_source,ready_for_v1,gemini_confidence,reviewer_note
law_fincpa_main_2026-01-02:제13조:ob01,law_fincpa_main_2026-01-02:제13조,제13조,,law_fincpa_main_2026-01-02:제13조:ob01:rule01,Ensure that internal compliance policies and legal interpretations of sales conduct rules prioritize financial consumer rights.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|fairness_guardrail,record_archive,review,medium,This is a high-level interpretive principle. Compliance can be verified by reviewing internal control standards and legal interpretation guidelines to ensure they explicitly prioritize consumer rights.
law_fincpa_main_2026-01-02:제13조:ob02,law_fincpa_main_2026-01-02:제13조,제13조,,law_fincpa_main_2026-01-02:제13조:ob02:rule01,Establish and apply internal guidelines to ensure sales conduct rules are interpreted and applied equitably based on specific financial product types and business sectors.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|no_current_field,decree_reference,review,medium,This is a high-level interpretive principle. Direct system-level validation is difficult without concrete sub-rules or delegated enforcement decrees. It is best mapped to internal control standards and general compliance frameworks.
law_fincpa_main_2026-01-02:제14조:①:ob01,law_fincpa_main_2026-01-02:제14조:①,제14조,①,law_fincpa_main_2026-01-02:제14조:①:ob01:rule01,"Ensure that internal conduct guidelines and customer-facing interactions incorporate and adhere to the principle of good faith during contract execution, exercise of rights, and performance of obligations.",general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail,decree_reference,review,medium,"As a foundational principle of good faith (신의성실의 원칙), this is highly abstract and serves as an overarching guardrail. It is best mapped to a general fairness guardrail rather than a specific transactional field, requiring sub-rule design or internal policy alignment."
law_fincpa_main_2026-01-02:제14조:②:ob01,law_fincpa_main_2026-01-02:제14조:②,제14조,②,law_fincpa_main_2026-01-02:제14조:②:ob01:rule01,Establish and maintain internal control standards and operational procedures to ensure fairness in financial product sales and business operations.,general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail|internal_control_standard,decree_reference,review,medium,This is a high-level principle of fairness in business operations. It requires connection to internal control standards and procedural guidelines rather than a single transactional field.
law_fincpa_main_2026-01-02:제14조:②:ob02,law_fincpa_main_2026-01-02:제14조:②,제14조,②,law_fincpa_main_2026-01-02:제14조:②:ob02:rule01,Prohibit transactions or sales practices that unjustifiably harm financial consumers' interests to generate benefits for the financial sales agent or a third party.,general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|prohibited_claim_signal,workflow_log,review,medium,"This is a broad anti-conflict of interest principle. While highly abstract, it can be operationalized by monitoring transaction routing, fee structures, or third-party referral flows that lack justifiable commercial reasons."
law_fincpa_main_2026-01-02:제15조:ob01,law_fincpa_main_2026-01-02:제15조,제15조,,law_fincpa_main_2026-01-02:제15조:ob01:rule01,"금융상품 또는 금융상품자문 계약 체결 시 정당한 사유 없이 성별, 학력, 장애, 사회적 신분 등을 이유로 계약조건을 부당하게 차별하여 적용하는 행위를 금지한다.",general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|consumer_profile,workflow_log,review,high,"계약 조건 결정 로직 및 심사 기준 상에 성별, 학력, 장애, 사회적 신분 등 차별 유발 요소가 부당하게 반영되었는지 검증하는 룰 설계가 필요합니다."
law_fincpa_main_2026-01-02:제16조:①:ob01,law_fincpa_main_2026-01-02:제16조:①,제16조,①,law_fincpa_main_2026-01-02:제16조:①:ob01:rule01,"Establish and execute internal control standards to supervise and manage employees and sales agents, ensuring compliance with financial laws and preventing market disruption.",internal_control,required_process,record_system,direct_record_field,internal_control_standard|staff_registry|activity_record,record_archive,review,high,"This rule requires verifying that internal control standards specifically govern employee and sales agent activities, excluding insurance brokers under Article 2, Paragraph 11 of the Insurance Business Act."
law_fincpa_main_2026-01-02:제17조:③:ob02,law_fincpa_main_2026-01-02:제17조:③,제17조,③,law_fincpa_main_2026-01-02:제17조:③:ob02:rule01,Ensure suitability assessment criteria are configured and applied in accordance with the standards prescribed by the Presidential Decree.,suitability,delegated_detail,workflow_metadata,delegated_external_detail,suitability_check|internal_control_standard,decree_reference,review,high,"Since the specific suitability criteria are delegated to the Presidential Decree, the system must verify that the active evaluation logic aligns with the decree's detailed rules."
law_fincpa_main_2026-01-02:제17조:④:ob01,law_fincpa_main_2026-01-02:제17조:④,제17조,④,law_fincpa_main_2026-01-02:제17조:④:ob01:rule01,금융상품 유형별로 파악해야 하는 금융소비자 정보의 세부 항목은 대통령령(시행령)이 정하는 기준을 준수하여 구성되어야 한다.,suitability,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|suitability_check,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual rule must be verified against the Enforcement Decree of the Financial Consumer Protection Act for specific consumer profile fields.
law_fincpa_main_2026-01-02:제17조:⑥:ob01,law_fincpa_main_2026-01-02:제17조:⑥,제17조,⑥,law_fincpa_main_2026-01-02:제17조:⑥:ob01:rule01,금융상품판매업자등은 대통령령으로 정하는 자에게 적합성원칙 적용을 별도로 요청할 수 있음을 사전에 고지하여야 한다.,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|suitability_check,workflow_log,review,high,대통령령으로 정하는 구체적인 대상자(예: 전문금융소비자 중 일부) 및 사전 고지 방식에 대한 시행령 상세 요건의 추가 연계가 필요합니다.
law_fincpa_main_2026-01-02:제18조:①:ob04,law_fincpa_main_2026-01-02:제18조:①,제18조,①,law_fincpa_main_2026-01-02:제18조:①:ob04:rule01,Verify that the system collects all additional consumer information prescribed by the Enforcement Decree before conducting an adequacy assessment for unsolicited contracts.,adequacy,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|adequacy_check,consumer_profile_form,review,high,The specific data points to be gathered are delegated to the Enforcement Decree. The rule logic must be updated once those specific decree-level fields are finalized.
law_fincpa_main_2026-01-02:제18조:③:ob01,law_fincpa_main_2026-01-02:제18조:③,제18조,③,law_fincpa_main_2026-01-02:제18조:③:ob01:rule01,Identify and collect the detailed consumer information required for the adequacy principle assessment as specified by the Presidential Decree.,adequacy,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|adequacy_check,decree_reference,review,high,This rule candidate represents a delegation clause pointing to the Presidential Decree. The specific fields to be collected must be updated and verified against the Enforcement Decree of the Financial Consumer Protection Act.
law_fincpa_main_2026-01-02:제19조:③:ob02,law_fincpa_main_2026-01-02:제19조:③,제19조,③,law_fincpa_main_2026-01-02:제19조:③:ob02:rule01,Ensure that all important matters prescribed by the Enforcement Decree are not omitted during product explanations to financial consumers.,explanation,prohibited_presence,content_text,delegated_external_detail,explanation_material|product_core_terms,explanation_form,review,high,This rule requires cross-referencing with the Enforcement Decree to compile the exact list of mandatory explanation items for each product type before V1 deployment.
law_fincpa_main_2026-01-02:제19조:④:ob01,law_fincpa_main_2026-01-02:제19조:④,제19조,④,law_fincpa_main_2026-01-02:제19조:④:ob01:rule01,"Ensure that the content, delivery methods, and procedures of explanatory statements comply with the detailed requirements prescribed by the Presidential Decree.",explanation,delegated_detail,mixed,delegated_external_detail,explanation_material|explanation_confirmation,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the corresponding Enforcement Decree provisions.
law_fincpa_main_2026-01-02:제20조:①:ob07,law_fincpa_main_2026-01-02:제20조:①,제20조,①,law_fincpa_main_2026-01-02:제20조:①:ob07:rule01,"금융상품 판매업자는 예외 사유 없이 연계·제휴서비스를 부당하게 축소하거나 변경하여서는 아니 되며, 축소·변경 시 대체 서비스 제공 등 법령상 예외 요건을 충족하고 이를 기록·관리하여야 한다.",unfair_sales,prohibited_presence,workflow_metadata,direct_workflow_field,product_core_terms|fairness_guardrail,workflow_log,review,high,대통령령으로 정하는 구체적인 예외 사유(대체 서비스 제공 등) 및 사전 고지 절차 준수 여부를 검증하기 위해 상품 조건 변경 이력 및 승인 워크플로우 로그 확인이 필요합니다.
law_fincpa_main_2026-01-02:제20조:②:ob01,law_fincpa_main_2026-01-02:제20조:②,제20조,②,law_fincpa_main_2026-01-02:제20조:②:ob01:rule01,Refer to the Presidential Decree for the specific types and standards of prohibited unfair sales practices.,unfair_sales,delegated_detail,workflow_metadata,delegated_external_detail,fairness_guardrail|no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree for detailed operational standards on unfair sales practices. The actual compliance rules must be derived from the corresponding Enforcement Decree.
law_fincpa_main_2026-01-02:제21조의2:④:ob01,law_fincpa_main_2026-01-02:제21조의2:④,제21조의2,④,law_fincpa_main_2026-01-02:제21조의2:④:ob01:rule01,Establish and operate an internal control system to support compliance with door-to-door and telemarketing sales obligations.,internal_control,required_process,record_system,delegated_external_detail,internal_control_standard|activity_record,decree_reference,review,high,"This obligation mandates the establishment of a compliance system for door-to-door and telemarketing sales, with specific technical and operational requirements delegated to the Presidential Decree."
law_fincpa_main_2026-01-02:제21조의2:⑥:ob01,law_fincpa_main_2026-01-02:제21조의2:⑥,제21조의2,⑥,law_fincpa_main_2026-01-02:제21조의2:⑥:ob01:rule01,Ensure that the detailed procedures and requirements for door-to-door and telemarketing sales comply with the specific provisions delegated to and established under the Enforcement Decree.,solicitation,delegated_detail,workflow_metadata,delegated_external_detail,no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the corresponding Enforcement Decree provisions governing door-to-door and telemarketing sales.
law_fincpa_main_2026-01-02:제22조:①:ob02,law_fincpa_main_2026-01-02:제22조:①,제22조,①,law_fincpa_main_2026-01-02:제22조:①:ob02:rule01,"Verify that any non-distributor entity conducting financial advertising is a legally permitted exception, such as a specified financial association or a financial holding company.",advertising,delegated_detail,workflow_metadata,delegated_external_detail,seller_identity|no_current_field,decree_reference,review,high,"This rule governs the legal eligibility of non-distributor entities (associations, holding companies) to run advertisements. It requires cross-referencing the entity's legal status with the Presidential Decree exceptions."
law_fincpa_main_2026-01-02:제22조:②:ob01,law_fincpa_main_2026-01-02:제22조:②,제22조,②,law_fincpa_main_2026-01-02:제22조:②:ob01:rule01,Ensure financial product advertisements are clear and fair to prevent consumer misunderstanding by establishing internal review standards and content guidelines.,advertising,principle_guardrail,content_text,principle_only,fairness_guardrail|prohibited_claim_signal,visible_content,review,high,"This is a high-level principle. While the core requirement is to prevent consumer misunderstanding in advertising content, operationalizing it requires linking to specific internal control standards or pre-clearance workflows."
law_fincpa_main_2026-01-02:제22조:⑤:ob01,law_fincpa_main_2026-01-02:제22조:⑤,제22조,⑤,law_fincpa_main_2026-01-02:제22조:⑤:ob01:rule01,금융상품 광고 시 표시·광고의 공정화에 관한 법률 제4조제1항에 따른 필수 표시·광고사항을 누락 없이 반영하고 관련 기준을 준수해야 한다.,advertising,required_presence,content_text,delegated_external_detail,fairness_guardrail|no_current_field,visible_content,review,high,This rule references the Fair Labeling and Advertising Act. Specific mandatory disclosure items must be cross-referenced with the enforcement decree of that Act to verify compliance in the actual advertisement content.
law_fincpa_main_2026-01-02:제22조:⑥:ob01,law_fincpa_main_2026-01-02:제22조:⑥,제22조,⑥,law_fincpa_main_2026-01-02:제22조:⑥:ob01:rule01,Verify that the financial product distributor receives and logs the advertising review results and opinions from the relevant industry association prior to publishing the advertisement.,advertising,required_process,workflow_metadata,direct_workflow_field,activity_record|prohibited_claim_signal,workflow_log,review,medium,"This rule tracks the workflow step where the association's review results and opinions are received and integrated into the internal advertising approval process. Since the specific procedures are delegated to the Presidential Decree, this rule should be reviewed once the decree details are fully mapped."
law_fincpa_main_2026-01-02:제22조:⑦:ob01,law_fincpa_main_2026-01-02:제22조:⑦,제22조,⑦,law_fincpa_main_2026-01-02:제22조:⑦:ob01:rule01,Ensure that all advertising methods and procedures comply with the specific requirements and standards prescribed by the Presidential Decree.,advertising,delegated_detail,workflow_metadata,delegated_external_detail,no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. Concrete rules must be derived from the Enforcement Decree of the Financial Consumer Protection Act.
law_fincpa_main_2026-01-02:제23조:①:ob02,law_fincpa_main_2026-01-02:제23조:①,제23조,①,law_fincpa_main_2026-01-02:제23조:①:ob02:rule01,Verify that any exemption from providing contract documents is applied only to cases specified by the Presidential Decree where consumer protection is not compromised.,contract_documents,delegated_detail,workflow_metadata,delegated_external_detail,contract_document_delivery|no_current_field,decree_reference,review,high,This rule represents a conditional exemption. Full implementation requires cross-referencing the specific exemption criteria defined in the Enforcement Decree of the Financial Consumer Protection Act.
law_fincpa_main_2026-01-02:제23조:③:ob01,law_fincpa_main_2026-01-02:제23조:③,제23조,③,law_fincpa_main_2026-01-02:제23조:③:ob01:rule01,Ensure that the methods and procedures for delivering contract documents to consumers comply with the specific requirements prescribed by the Presidential Decree.,contract_documents,delegated_detail,workflow_metadata,delegated_external_detail,contract_document_delivery,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the Enforcement Decree of the Financial Consumer Protection Act.
law_fincpa_main_2026-01-02:제25조:①:ob03,law_fincpa_main_2026-01-02:제25조:①,제25조,①,law_fincpa_main_2026-01-02:제25조:①:ob03:rule01,금융상품판매대리·중개업자는 소비자 보호 및 건전한 거래질서를 해칠 우려가 있어 대통령령으로 정하는 금지 행위를 수행해서는 안 된다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|prohibited_claim_signal,decree_reference,review,high,대통령령(시행령)에서 구체적으로 위임하여 규정하는 금지행위 세부 항목들을 연계하여 검증 규칙으로 구체화해야 합니다.
law_fincpa_main_2026-01-02:제25조:③:ob01,law_fincpa_main_2026-01-02:제25조:③,제25조,③,law_fincpa_main_2026-01-02:제25조:③:ob01:rule01,금융상품판매대리·중개업자의 수수료 범위 및 재산상 이익의 구체적 제한 사항은 대통령령이 정하는 세부 기준을 준수하여야 한다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|no_current_field,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual compliance rules must be derived from the Enforcement Decree regarding prohibited fees and financial benefits for intermediaries.
law_fincpa_main_2026-01-02:제26조:①:ob05,law_fincpa_main_2026-01-02:제26조:①,제26조,①,law_fincpa_main_2026-01-02:제26조:①:ob05:rule01,Disclose other matters prescribed by the Presidential Decree for consumer protection or sound market order during intermediary transactions.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|no_current_field,decree_reference,review,high,This obligation is a delegation clause to the Enforcement Decree. The specific disclosure items must be retrieved from the corresponding Enforcement Decree provisions to establish a concrete rule.
law_fincpa_main_2026-01-02:제26조:③:ob01,law_fincpa_main_2026-01-02:제26조:③,제26조,③,law_fincpa_main_2026-01-02:제26조:③:ob01:rule01,금융상품판매대리·중개업자의 표지 게시 및 증표 제시에 관한 구체적인 이행 요건은 대통령령(시행령)이 정하는 세부 기준을 준수하여 시스템 및 영업점에 반영해야 한다.,intermediary,delegated_detail,workflow_metadata,delegated_external_detail,intermediary_status|representative_identity,decree_reference,review,high,"본 조항은 구체적인 표지 게시 및 증표 제시 의무의 세부 사항을 대통령령으로 위임하고 있으므로, 시행령의 구체적 요건(규격, 기재사항 등)이 확정된 후 이를 검증하는 룰셋으로 연계되어야 합니다."
law_fincpa_main_2026-01-02:제27조:①:ob01,law_fincpa_main_2026-01-02:제27조:①,제27조,①,law_fincpa_main_2026-01-02:제27조:①:ob01:rule01,Financial product advisors must establish and adhere to internal advisory standards that demonstrate the duty of care of a good manager during advisory workflows.,advisory,principle_guardrail,workflow_metadata,derived_decision_field,advisory_independence|internal_control_standard,workflow_log,review,medium,"This represents the high-level fiduciary duty of care for advisors. While a general principle, compliance can be monitored by verifying that advisory workflows follow established internal control standards and independence guidelines."
law_fincpa_main_2026-01-02:제27조:②:ob01,law_fincpa_main_2026-01-02:제27조:②,제27조,②,law_fincpa_main_2026-01-02:제27조:②:ob01:rule01,Financial product advisors must establish and adhere to internal guidelines that define and verify the faithful performance of advisory duties to protect consumer interests.,advisory,principle_guardrail,record_system,principle_only,advisory_independence|internal_control_standard,record_archive,review,medium,"This represents a high-level fiduciary duty. While it is a general principle, compliance can be monitored by verifying the existence of internal control standards and advisory independence protocols."
law_fincpa_main_2026-01-02:제27조:⑤:ob02,law_fincpa_main_2026-01-02:제27조:⑤,제27조,⑤,law_fincpa_main_2026-01-02:제27조:⑤:ob02:rule01,독립금융상품자문업자는 금융소비자와의 이해상충이 발생할 수 있는 대통령령으로 정하는 금지 행위를 수행하여서는 아니 된다.,advisory,delegated_detail,workflow_metadata,delegated_external_detail,advisory_independence|prohibited_claim_signal,decree_reference,review,high,대통령령(시행령)에서 구체적으로 규정하는 이해상충 행위 목록을 연계하여 검증 규칙을 구체화해야 하므로 v1 출시 전 추가 검토가 필요합니다.
law_fincpa_main_2026-01-02:제28조:①:ob01,law_fincpa_main_2026-01-02:제28조:①,제28조,①,law_fincpa_main_2026-01-02:제28조:①:ob01:rule01,Ensure that business-related materials prescribed by the Presidential Decree are systematically recorded and maintained.,recordkeeping,required_record,record_system,delegated_external_detail,activity_record|record_integrity_control,record_archive,review,high,The specific types of business materials to be recorded are delegated to the Presidential Decree. The rule candidate establishes the baseline requirement for recordkeeping systems to support these categories.
