field_name,field_group,value_type,mvp_priority,source_rule_count,source_obligation_count,description,dominant_sir_link_type,product_scopes,channel_scopes,rule_families,logic_types,detection_targets,evidence_sources,article_refs,source_rule_ids
explanation_material,content_text,document_or_text_bundle,high,9,9,"Explanation text, script, or material bundle used to communicate key product terms and risks to the consumer.",direct_content_field,deposit|general|insurance|investment|loan|multiple,solicitation|contracting,explanation|intermediary,prohibited_presence|required_presence,content_text|document_bundle,explanation_form,제19조①|제19조②|제19조③|제26조①,law_fincpa_main_2026-01-02:제19조:①:ob01:rule01|law_fincpa_main_2026-01-02:제19조:①:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제19조:①:ob05:rule01|law_fincpa_main_2026-01-02:제19조:①:ob06:rule01|law_fincpa_main_2026-01-02:제19조:②:ob01:rule01|law_fincpa_main_2026-01-02:제19조:③:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob04:rule01
intermediary_status,content_text,enum,high,12,12,"Status or role of an intermediary, agent, or broker relevant to what conduct or disclosure rules apply.",direct_content_field,general|general|investment|investment|multiple,advertising|advisory|all_customer_facing|solicitation|contracting|contracting|solicitation|contracting,advertising|advisory|intermediary,prohibited_presence|required_presence|required_process,content_text|workflow_metadata,explanation_form|visible_content|workflow_log,제22조①|제24조|제25조①|제25조②|제26조①|제26조②|제27조③,law_fincpa_main_2026-01-02:제22조:①:ob01:rule01|law_fincpa_main_2026-01-02:제24조:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob02:rule01|law_fincpa_main_2026-01-02:제25조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob02:rule01|law_fincpa_main_2026-01-02:제26조:①:ob03:rule01|law_fincpa_main_2026-01-02:제26조:①:ob04:rule01|law_fincpa_main_2026-01-02:제26조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:②:ob02:rule01|law_fincpa_main_2026-01-02:제27조:③:ob01:rule01
product_core_terms,content_text,text_bundle,high,8,8,Core product terms that must be disclosed so the consumer can understand what is being offered.,direct_content_field,deposit|general|insurance|investment|multiple,advertising|advisory|solicitation|contracting|visit_sales|phone_sales|solicitation,advertising|advisory|explanation|solicitation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제16조의2③|제19조①|제22조③|제22조④|제27조③,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob05:rule01|law_fincpa_main_2026-01-02:제22조:③:ob01:rule01|law_fincpa_main_2026-01-02:제22조:③:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01|law_fincpa_main_2026-01-02:제27조:③:ob01:rule01
prohibited_claim_signal,content_text,signal_list,high,17,17,"Detected prohibited claim, misleading claim, or other disallowed promotional signal in visible content.",direct_content_field,deposit|general|insurance|investment|loan|multiple,advertising|advisory|contracting|solicitation|solicitation|contracting|solicitation|visit_sales|phone_sales|visit_sales|phone_sales,advertising|advisory|explanation|intermediary|solicitation|unfair_sales,prohibited_presence|required_presence,content_text|document_bundle|workflow_metadata,contract_document|explanation_form|visible_content|workflow_log,제19조③|제20조①|제21조|제21조의2①|제22조③|제22조④|제25조②|제26조①|제27조④|제27조⑤,law_fincpa_main_2026-01-02:제19조:③:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob06:rule01|law_fincpa_main_2026-01-02:제21조:ob01:rule01|law_fincpa_main_2026-01-02:제21조:ob02:rule01|law_fincpa_main_2026-01-02:제21조:ob03:rule01|law_fincpa_main_2026-01-02:제21조:ob04:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob02:rule01|law_fincpa_main_2026-01-02:제22조:③:ob03:rule01|law_fincpa_main_2026-01-02:제22조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:④:ob02:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01|law_fincpa_main_2026-01-02:제25조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob03:rule01|law_fincpa_main_2026-01-02:제27조:④:ob01:rule01|law_fincpa_main_2026-01-02:제27조:⑤:ob01:rule01
deposit_disclaimer,content_text,text_or_flag,low,2,2,"Required deposit or savings disclaimer, including guarantee or protection limitations where applicable.",direct_content_field,deposit,advertising,advertising,prohibited_presence|required_presence,content_text,visible_content,제22조③|제22조④,law_fincpa_main_2026-01-02:제22조:③:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01
investment_warning,content_text,text_or_flag,low,3,3,Required investment-related risk or caution disclosure that must be surfaced to the consumer.,direct_content_field,investment,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조③|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob02:rule01|law_fincpa_main_2026-01-02:제22조:③:ob03:rule01|law_fincpa_main_2026-01-02:제22조:④:ob02:rule01
loan_costs,content_text,text,low,3,3,"Loan-related cost, fee, or penalty disclosures that must be visible to the consumer.",direct_content_field,loan,advertising|contracting|solicitation|contracting,advertising|explanation|unfair_sales,prohibited_presence|required_presence,content_text|workflow_metadata,explanation_form|visible_content|workflow_log,제19조①|제20조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제20조:①:ob05:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
loan_interest_timing,content_text,text,low,2,2,Information showing when interest is charged or how the timing of interest accrual is communicated.,direct_content_field,loan,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
loan_rate_basis,content_text,text,low,3,3,"Interest rate range, rate basis, or rate calculation method disclosed for a loan product.",direct_content_field,deposit|loan,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
product_identity,content_text,text,low,3,3,Visible identification of the product itself in customer-facing content or documents.,direct_content_field,general|investment|multiple,advertising|solicitation|contracting|visit_sales|phone_sales|solicitation,adequacy|advertising|solicitation,required_presence|required_process,content_text|workflow_metadata,visible_content|workflow_log,제16조의2③|제18조④|제22조③,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01|law_fincpa_main_2026-01-02:제18조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:③:ob01:rule01
seller_identity,content_text,text,low,3,3,Visible identification of the financial seller or responsible institution in customer-facing content.,direct_content_field,general|general|investment|multiple,advertising|solicitation|contracting,advertising|intermediary,prohibited_presence|required_presence,content_text|workflow_metadata,visible_content|workflow_log,제22조①|제22조③|제26조①,law_fincpa_main_2026-01-02:제22조:①:ob01:rule01|law_fincpa_main_2026-01-02:제22조:③:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob01:rule01
advisory_independence,content_text,enum,medium,4,4,"Evidence that advisory conduct preserves required independence, neutrality, or conflict controls.",direct_content_field,general|investment,advertising|advisory,advisory,prohibited_presence|required_presence,content_text|workflow_metadata,explanation_form|visible_content|workflow_log,제27조③|제27조④|제27조⑤,law_fincpa_main_2026-01-02:제27조:③:ob01:rule01|law_fincpa_main_2026-01-02:제27조:③:ob02:rule01|law_fincpa_main_2026-01-02:제27조:④:ob01:rule01|law_fincpa_main_2026-01-02:제27조:⑤:ob01:rule01
explanation_confirmation,content_text,enum,medium,6,6,"Evidence that the required explanation was confirmed, acknowledged, or otherwise completed.",direct_content_field,general|insurance|investment|multiple,solicitation|contracting,adequacy|explanation,required_presence|required_process|required_record,content_text|document_bundle|record_system|workflow_metadata,explanation_form|record_archive,제18조②|제19조①|제19조②,law_fincpa_main_2026-01-02:제18조:②:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob01:rule01|law_fincpa_main_2026-01-02:제19조:①:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob06:rule01|law_fincpa_main_2026-01-02:제19조:②:ob01:rule01|law_fincpa_main_2026-01-02:제19조:②:ob02:rule01
insurance_warning,content_text,text_or_flag,medium,4,4,"Required insurance-related warning, replacement notice, or caution text that must be surfaced to the consumer.",direct_content_field,insurance,advertising|solicitation|solicitation|contracting,advertising|explanation|solicitation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제21조|제22조③|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob01:rule01|law_fincpa_main_2026-01-02:제21조:ob02:rule01|law_fincpa_main_2026-01-02:제22조:③:ob02:rule01|law_fincpa_main_2026-01-02:제22조:④:ob01:rule01
loan_conditions,content_text,text_bundle,medium,7,7,Loan conditions that must be disclosed to explain the structure of the loan offer.,direct_content_field,loan|multiple,advertising|contracting|solicitation|contracting,advertising|explanation|unfair_sales,prohibited_presence|required_presence,content_text|document_bundle|workflow_metadata,contract_document|explanation_form|visible_content|workflow_log,제19조①|제20조①|제22조③|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제20조:①:ob02:rule01|law_fincpa_main_2026-01-02:제20조:①:ob04:rule01|law_fincpa_main_2026-01-02:제20조:①:ob05:rule01|law_fincpa_main_2026-01-02:제20조:①:ob06:rule01|law_fincpa_main_2026-01-02:제22조:③:ob05:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
activity_record,record_system,record_ref,high,13,13,"Activity log or archived record showing that a regulated action, explanation, or solicitation occurred.",direct_record_field,general|multiple,all_customer_facing|contracting|internal_control|solicitation|advisory|solicitation|contracting|visit_sales|phone_sales|visit_sales|phone_sales|solicitation,adequacy|intermediary|recordkeeping|solicitation|suitability,prohibited_presence|required_process|required_record|required_response,record_system|workflow_metadata,record_archive|workflow_log,제16조의2①|제17조②|제18조②|제21조의2②|제21조의2③|제21조의2⑤|제23조②|제25조①|제28조①|제28조②|제28조③|제28조④,law_fincpa_main_2026-01-02:제16조의2:①:ob01:rule01|law_fincpa_main_2026-01-02:제17조:②:ob02:rule01|law_fincpa_main_2026-01-02:제18조:②:ob02:rule01|law_fincpa_main_2026-01-02:제21조의2:②:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:③:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:⑤:ob01:rule01|law_fincpa_main_2026-01-02:제23조:②:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob02:rule01|law_fincpa_main_2026-01-02:제28조:①:ob02:rule01|law_fincpa_main_2026-01-02:제28조:②:ob01:rule01|law_fincpa_main_2026-01-02:제28조:③:ob01:rule01|law_fincpa_main_2026-01-02:제28조:④:ob02:rule01
contract_document_delivery,record_system,enum,low,2,2,Evidence that required contract or pre-contract documents were delivered or made available.,direct_record_field,general,contracting,contract_documents|recordkeeping,required_process|required_record,record_system|workflow_metadata,record_archive|workflow_log,제23조①|제23조②,law_fincpa_main_2026-01-02:제23조:①:ob01:rule01|law_fincpa_main_2026-01-02:제23조:②:ob01:rule01
internal_control_standard,record_system,document_ref,low,2,2,Internal control standard or formal compliance procedure document required by the organization.,direct_record_field,general,all_customer_facing|internal_control,internal_control|unfair_sales,prohibited_presence|required_presence,record_system|workflow_metadata,record_archive|workflow_log,제16조②|제20조①,law_fincpa_main_2026-01-02:제16조:②:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob03:rule01
record_integrity_control,record_system,enum,medium,5,5,"Evidence that records are preserved with integrity, retention, and access safeguards.",direct_record_field,general|multiple,contracting|internal_control|solicitation|advisory|visit_sales|phone_sales,recordkeeping|suitability,required_process|required_record|required_response,record_system,record_archive,제17조②|제21조의2⑤|제23조②|제28조①|제28조②,law_fincpa_main_2026-01-02:제17조:②:ob02:rule01|law_fincpa_main_2026-01-02:제21조의2:⑤:ob01:rule01|law_fincpa_main_2026-01-02:제23조:②:ob01:rule01|law_fincpa_main_2026-01-02:제28조:①:ob02:rule01|law_fincpa_main_2026-01-02:제28조:②:ob01:rule01
adequacy_check,workflow_metadata,enum,high,8,8,Structured adequacy assessment result or completion state for products or consumers that require adequacy review.,direct_workflow_field,general|insurance|investment|loan|multiple,contracting|solicitation|contracting,adequacy,required_process|required_record,consumer_profile|record_system|workflow_metadata,consumer_profile_form|record_archive|workflow_log,제18조①|제18조②|제18조④|제18조⑤,law_fincpa_main_2026-01-02:제18조:①:ob01:rule01|law_fincpa_main_2026-01-02:제18조:①:ob02:rule01|law_fincpa_main_2026-01-02:제18조:①:ob03:rule01|law_fincpa_main_2026-01-02:제18조:②:ob01:rule01|law_fincpa_main_2026-01-02:제18조:②:ob02:rule01|law_fincpa_main_2026-01-02:제18조:④:ob01:rule01|law_fincpa_main_2026-01-02:제18조:④:ob02:rule01|law_fincpa_main_2026-01-02:제18조:⑤:ob01:rule01
consumer_profile,workflow_metadata,profile_bundle,high,8,8,"Collected consumer profile facts used to judge suitability, adequacy, or tailored explanation duties.",direct_workflow_field,general|insurance|investment|loan|multiple,contracting|contracting|advisory|solicitation|solicitation|advisory,adequacy|suitability,prohibited_presence|required_process|required_record,consumer_profile|record_system|workflow_metadata,consumer_profile_form|record_archive|workflow_log,제17조①|제17조②|제17조③|제18조①,law_fincpa_main_2026-01-02:제17조:①:ob01:rule01|law_fincpa_main_2026-01-02:제17조:②:ob01:rule01|law_fincpa_main_2026-01-02:제17조:②:ob02:rule01|law_fincpa_main_2026-01-02:제17조:②:ob03:rule01|law_fincpa_main_2026-01-02:제17조:③:ob01:rule01|law_fincpa_main_2026-01-02:제18조:①:ob01:rule01|law_fincpa_main_2026-01-02:제18조:①:ob02:rule01|law_fincpa_main_2026-01-02:제18조:①:ob03:rule01
staff_registry,workflow_metadata,record_ref,low,3,3,"Registry or record set tracking staff, intermediaries, or other regulated personnel information.",direct_workflow_field,general,solicitation|contracting|visit_sales|phone_sales,intermediary|recordkeeping,prohibited_presence|required_record|required_response,record_system|workflow_metadata,record_archive|workflow_log,제16조의2①|제16조의2②|제24조,law_fincpa_main_2026-01-02:제16조의2:①:ob01:rule01|law_fincpa_main_2026-01-02:제16조의2:②:ob01:rule01|law_fincpa_main_2026-01-02:제24조:ob01:rule01
access_request,workflow_metadata,record_ref,medium,4,4,"Record of a consumer request to access, inspect, or receive regulated information or records.",direct_workflow_field,general,all_customer_facing,recordkeeping,required_response,workflow_metadata,workflow_log,제28조③|제28조④|제28조⑤,law_fincpa_main_2026-01-02:제28조:③:ob01:rule01|law_fincpa_main_2026-01-02:제28조:④:ob01:rule01|law_fincpa_main_2026-01-02:제28조:④:ob02:rule01|law_fincpa_main_2026-01-02:제28조:⑤:ob01:rule01
access_response,workflow_metadata,record_ref,medium,5,5,Record of the organization's response to a regulated consumer request or access event.,direct_workflow_field,general,all_customer_facing|visit_sales|phone_sales,recordkeeping,required_response,record_system|workflow_metadata,record_archive|workflow_log,제21조의2⑤|제28조③|제28조④|제28조⑤,law_fincpa_main_2026-01-02:제21조의2:⑤:ob01:rule01|law_fincpa_main_2026-01-02:제28조:③:ob01:rule01|law_fincpa_main_2026-01-02:제28조:④:ob01:rule01|law_fincpa_main_2026-01-02:제28조:④:ob02:rule01|law_fincpa_main_2026-01-02:제28조:⑤:ob01:rule01
consumer_type,workflow_metadata,enum,medium,5,5,"Consumer classification needed for suitability or adequacy handling, such as general or professional consumer status.",direct_workflow_field,general|investment,contracting|advisory|solicitation|contracting,adequacy|suitability,required_process,workflow_metadata,workflow_log,제17조①|제17조⑤|제18조④|제18조⑤,law_fincpa_main_2026-01-02:제17조:①:ob01:rule01|law_fincpa_main_2026-01-02:제17조:⑤:ob01:rule01|law_fincpa_main_2026-01-02:제17조:⑤:ob02:rule01|law_fincpa_main_2026-01-02:제18조:④:ob02:rule01|law_fincpa_main_2026-01-02:제18조:⑤:ob01:rule01
fairness_guardrail,workflow_metadata,enum,medium,5,5,Reviewer-facing fairness or consumer-protection guardrail used when a rule is still partially principle-driven.,direct_workflow_field,general|loan|multiple,all_customer_facing|contracting|solicitation,solicitation|unfair_sales,prohibited_presence,content_text|workflow_metadata,visible_content|workflow_log,제20조①|제21조,law_fincpa_main_2026-01-02:제20조:①:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob02:rule01|law_fincpa_main_2026-01-02:제20조:①:ob03:rule01|law_fincpa_main_2026-01-02:제20조:①:ob04:rule01|law_fincpa_main_2026-01-02:제21조:ob01:rule01
representative_identity,workflow_metadata,text,medium,5,5,"Identity of the representative, staff member, or solicitor involved in the consumer interaction.",direct_workflow_field,general|investment,advisory|all_customer_facing|solicitation|contracting|visit_sales|phone_sales|visit_sales|phone_sales|solicitation,advisory|intermediary|solicitation,required_presence|required_process|required_response,content_text|workflow_metadata,visible_content|workflow_log,제16조의2②|제16조의2③|제26조②|제27조③,law_fincpa_main_2026-01-02:제16조의2:②:ob01:rule01|law_fincpa_main_2026-01-02:제16조의2:③:ob01:rule01|law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01|law_fincpa_main_2026-01-02:제26조:②:ob02:rule01|law_fincpa_main_2026-01-02:제27조:③:ob02:rule01
solicitation_purpose,workflow_metadata,text,medium,7,7,Purpose statement or context showing why a solicitation contact or interaction is being made.,direct_workflow_field,general|investment,solicitation|solicitation|visit_sales|phone_sales|visit_sales|phone_sales|visit_sales|phone_sales|solicitation,solicitation,prohibited_presence|required_presence|required_process|required_response,content_text|workflow_metadata,visible_content|workflow_log,제16조의2③|제21조|제21조의2①|제21조의2②|제21조의2③,law_fincpa_main_2026-01-02:제16조의2:③:ob01:rule01|law_fincpa_main_2026-01-02:제21조:ob03:rule01|law_fincpa_main_2026-01-02:제21조:ob04:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob02:rule01|law_fincpa_main_2026-01-02:제21조의2:②:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:③:ob01:rule01
suitability_check,workflow_metadata,enum,medium,7,7,Structured suitability assessment result or completion state derived from the consumer profile and product context.,direct_workflow_field,general|investment|multiple,solicitation|solicitation|advisory|solicitation|contracting,adequacy|suitability,prohibited_presence|required_process|required_record,consumer_profile|record_system|workflow_metadata,consumer_profile_form|record_archive|workflow_log,제17조②|제17조③|제17조⑤|제18조⑤,law_fincpa_main_2026-01-02:제17조:②:ob01:rule01|law_fincpa_main_2026-01-02:제17조:②:ob02:rule01|law_fincpa_main_2026-01-02:제17조:②:ob03:rule01|law_fincpa_main_2026-01-02:제17조:③:ob01:rule01|law_fincpa_main_2026-01-02:제17조:⑤:ob01:rule01|law_fincpa_main_2026-01-02:제17조:⑤:ob02:rule01|law_fincpa_main_2026-01-02:제18조:⑤:ob01:rule01
